SD = 1
W/Buffer erlang index: 9, erlang: 5500, BBP: 0.19863, general blocking: 0.0634, general blocking (original): 0.0963029, buffer size: 63400, reallocated: 32903, Average try per allocated element: 139.614, Average service time: 58.806, Average service time (ALL): 59.2879, Average buffer size: 31397.9, searchDepth: 5, maxBufferSize: 2147483647, pushed: 464235
W/Buffer erlang index: 10, erlang: 6000, BBP: 0.229992, general blocking: 0.073423, general blocking (original): 0.0995679, buffer size: 73423, reallocated: 26145, Average try per allocated element: 174.288, Average service time: 60.5582, Average service time (ALL): 61.0726, Average buffer size: 36479.5, searchDepth: 5, maxBufferSize: 2147483647, pushed: 563803

SD = 10
W/Buffer erlang index: 0, erlang: 1000, BBP: 0, general blocking: 0, general blocking (original): 0, buffer size: 0, reallocated: 0, Average try per allocated element: nan, Average service time: 0, Average service time (ALL): 0, Average buffer size: 0, searchDepth: 10, maxBufferSize: 2147483647, pushed: 563803
W/Buffer erlang index: 1, erlang: 1500, BBP: 0, general blocking: 0, general blocking (original): 0, buffer size: 0, reallocated: 0, Average try per allocated element: nan, Average service time: 0, Average service time (ALL): 0, Average buffer size: 0, searchDepth: 10, maxBufferSize: 2147483647, pushed: 563803
W/Buffer erlang index: 2, erlang: 2000, BBP: 0, general blocking: 0, general blocking (original): 0, buffer size: 0, reallocated: 0, Average try per allocated element: nan, Average service time: 0, Average service time (ALL): 0, Average buffer size: 0, searchDepth: 10, maxBufferSize: 2147483647, pushed: 563803
W/Buffer erlang index: 3, erlang: 2500, BBP: 0, general blocking: 0, general blocking (original): 9.99999e-05, buffer size: 0, reallocated: 100, Average try per allocated element: 23.74, Average service time: 0.00950982, Average service time (ALL): 0.00950982, Average buffer size: 0.00237708, searchDepth: 10, maxBufferSize: 2147483647, pushed: 563903
W/Buffer erlang index: 4, erlang: 3000, BBP: 3.13356e-06, general blocking: 1e-06, general blocking (original): 0.013111, buffer size: 1, reallocated: 13110, Average try per allocated element: 46.2903, Average service time: 0.015991, Average service time (ALL): 0.0159898, Average buffer size: 0.628828, searchDepth: 10, maxBufferSize: 2147483647, pushed: 577014
W/Buffer erlang index: 5, erlang: 3500, BBP: 1.56678e-05, general blocking: 5e-06, general blocking (original): 0.0809489, buffer size: 5, reallocated: 80944, Average try per allocated element: 90.6939, Average service time: 0.0734425, Average service time (ALL): 0.0734385, Average buffer size: 20.8035, searchDepth: 10, maxBufferSize: 2147483647, pushed: 657963
W/Buffer erlang index: 6, erlang: 4000, BBP: 0.0452079, general blocking: 0.014427, general blocking (original): 0.100006, buffer size: 14427, reallocated: 85579, Average try per allocated element: 109.376, Average service time: 18.3963, Average service time (ALL): 18.4111, Average buffer size: 7363.75, searchDepth: 10, maxBufferSize: 2147483647, pushed: 757969
W/Buffer erlang index: 7, erlang: 4500, BBP: 0.103699, general blocking: 0.033093, general blocking (original): 0.102411, buffer size: 33093, reallocated: 69318, Average try per allocated element: 133.998, Average service time: 34.9745, Average service time (ALL): 35.2221, Average buffer size: 16229.5, searchDepth: 10, maxBufferSize: 2147483647, pushed: 860380
W/Buffer erlang index: 8, erlang: 5000, BBP: 0.150282, general blocking: 0.04796, general blocking (original): 0.105096, buffer size: 47960, reallocated: 57136, Average try per allocated element: 161.254, Average service time: 44.3246, Average service time (ALL): 44.8633, Average buffer size: 23571.1, searchDepth: 10, maxBufferSize: 2147483647, pushed: 965476
W/Buffer erlang index: 9, erlang: 5500, BBP: 0.188174, general blocking: 0.060059, general blocking (original): 0.10684, buffer size: 60059, reallocated: 46781, Average try per allocated element: 195.603, Average service time: 49.7275, Average service time (ALL): 50.4361, Average buffer size: 29632.6, searchDepth: 10, maxBufferSize: 2147483647, pushed: 1072316
W/Buffer erlang index: 10, erlang: 6000, BBP: 0.22236, general blocking: 0.070991, general blocking (original): 0.108942, buffer size: 70991, reallocated: 37951, Average try per allocated element: 239.257, Average service time: 53.3375, Average service time (ALL): 54.1697, Average buffer size: 35402.6, searchDepth: 10, maxBufferSize: 2147483647, pushed: 1181258

SD = 20
W/Buffer erlang index: 0, erlang: 1000, BBP: 0, general blocking: 0, general blocking (original): 0, buffer size: 0, reallocated: 0, Average try per allocated element: nan, Average service time: 0, Average service time (ALL): 0, Average buffer size: 0, searchDepth: 20, maxBufferSize: 2147483647, pushed: 1181258
W/Buffer erlang index: 1, erlang: 1500, BBP: 0, general blocking: 0, general blocking (original): 0, buffer size: 0, reallocated: 0, Average try per allocated element: nan, Average service time: 0, Average service time (ALL): 0, Average buffer size: 0, searchDepth: 20, maxBufferSize: 2147483647, pushed: 1181258
W/Buffer erlang index: 2, erlang: 2000, BBP: 0, general blocking: 0, general blocking (original): 0, buffer size: 0, reallocated: 0, Average try per allocated element: nan, Average service time: 0, Average service time (ALL): 0, Average buffer size: 0, searchDepth: 20, maxBufferSize: 2147483647, pushed: 1181258
W/Buffer erlang index: 3, erlang: 2500, BBP: 0, general blocking: 0, general blocking (original): 9.99999e-05, buffer size: 0, reallocated: 100, Average try per allocated element: 23.74, Average service time: 0.00950982, Average service time (ALL): 0.00950982, Average buffer size: 0.00237708, searchDepth: 20, maxBufferSize: 2147483647, pushed: 1181358
W/Buffer erlang index: 4, erlang: 3000, BBP: 3.13356e-06, general blocking: 1e-06, general blocking (original): 0.013432, buffer size: 1, reallocated: 13431, Average try per allocated element: 48.1846, Average service time: 0.0164882, Average service time (ALL): 0.016487, Average buffer size: 0.664256, searchDepth: 20, maxBufferSize: 2147483647, pushed: 1194790
W/Buffer erlang index: 5, erlang: 3500, BBP: 9.40068e-06, general blocking: 3e-06, general blocking (original): 0.0827339, buffer size: 3, reallocated: 82731, Average try per allocated element: 131.192, Average service time: 0.0527054, Average service time (ALL): 0.0527036, Average buffer size: 15.2589, searchDepth: 20, maxBufferSize: 2147483647, pushed: 1277524
W/Buffer erlang index: 6, erlang: 4000, BBP: 0.0257704, general blocking: 0.008224, general blocking (original): 0.110474, buffer size: 8224, reallocated: 102250, Average try per allocated element: 181.364, Average service time: 9.73187, Average service time (ALL): 9.70682, Average buffer size: 4288.73, searchDepth: 20, maxBufferSize: 2147483647, pushed: 1387998
