W/Buffer erlang index: 0, erlang: 1000, BBP: 0, general blocking: 0, general blocking (original): 0, buffer size: 0, reallocated: 0, Average try per allocated element: nan, Average service time: 0, Average service time (ALL): 0, Average buffer size: 0, searchDepth: 1, maxBufferSize: 2147483647, pushed: 0
W/Buffer erlang index: 3, erlang: 2500, BBP: 3.13356e-06, general blocking: 1e-06, general blocking (original): 0.013719, buffer size: 1, reallocated: 13718, Average try per allocated element: 102.913, Average service time: 0.0422675, Average service time (ALL): 0.0422646, Average buffer size: 1.44934, searchDepth: 10, maxBufferSize: 2147483647, pushed: 486048
W/Buffer erlang index: 4, erlang: 3000, BBP: 0.0075081, general blocking: 0.002424, general blocking (original): 0.0508129, buffer size: 2424, reallocated: 48389, Average try per allocated element: 201.002, Average service time: 6.60192, Average service time (ALL): 6.63901, Average buffer size: 1011.88, searchDepth: 10, maxBufferSize: 2147483647, pushed: 536861
W/Buffer erlang index: 5, erlang: 3500, BBP: 0.070267, general blocking: 0.02284, general blocking (original): 0.0594239, buffer size: 22840, reallocated: 36584, Average try per allocated element: 262.003, Average service time: 53.6818, Average service time (ALL): 53.6804, Average buffer size: 11162.9, searchDepth: 10, maxBufferSize: 2147483647, pushed: 596285
W/Buffer erlang index: 6, erlang: 4000, BBP: 0.122974, general blocking: 0.039982, general blocking (original): 0.0664379, buffer size: 39982, reallocated: 26456, Average try per allocated element: 357.571, Average service time: 75.1521, Average service time (ALL): 75.0649, Average buffer size: 19945.5, searchDepth: 10, maxBufferSize: 2147483647, pushed: 662723
W/Buffer erlang index: 7, erlang: 4500, BBP: 0.162165, general blocking: 0.052971, general blocking (original): 0.0712859, buffer size: 52971, reallocated: 18315, Average try per allocated element: 510.897, Average service time: 82.0454, Average service time (ALL): 81.9209, Average buffer size: 26275.1, searchDepth: 10, maxBufferSize: 2147483647, pushed: 734009
W/Buffer erlang index: 8, erlang: 5000, BBP: 0.198076, general blocking: 0.064944, general blocking (original): 0.0760879, buffer size: 64944, reallocated: 11144, Average try per allocated element: 826.594, Average service time: 78.2986, Average service time (ALL): 84.651, Average buffer size: 32199.6, searchDepth: 10, maxBufferSize: 2147483647, pushed: 810097
W/Buffer erlang index: 9, erlang: 5500, BBP: 0.227844, general blocking: 0.075249, general blocking (original): 0.0819469, buffer size: 75249, reallocated: 6698, Average try per allocated element: 1355.46, Average service time: 76.9768, Average service time (ALL): 83.1882, Average buffer size: 37487.7, searchDepth: 10, maxBufferSize: 2147483647, pushed: 892044
W/Buffer erlang index: 10, erlang: 6000, BBP: 0.252901, general blocking: 0.084416, general blocking (original): 0.0881579, buffer size: 84416, reallocated: 3742, Average try per allocated element: 2408.11, Average service time: 74.9735, Average service time (ALL): 79.3726, Average buffer size: 41977.4, searchDepth: 10, maxBufferSize: 2147483647, pushed: 980202
W/Buffer erlang index: 0, erlang: 1000, BBP: 0, general blocking: 0, general blocking (original): 0, buffer size: 0, reallocated: 0, Average try per allocated element: nan, Average service time: 0, Average service time (ALL): 0, Average buffer size: 0, searchDepth: 20, maxBufferSize: 2147483647, pushed: 980202
W/Buffer erlang index: 1, erlang: 1500, BBP: 0, general blocking: 0, general blocking (original): 4.5e-05, buffer size: 0, reallocated: 45, Average try per allocated element: 19.5778, Average service time: 0.0131276, Average service time (ALL): 0.0131276, Average buffer size: 0.000885977, searchDepth: 20, maxBufferSize: 2147483647, pushed: 980247
W/Buffer erlang index: 2, erlang: 2000, BBP: 0, general blocking: 0, general blocking (original): 0.0016, buffer size: 0, reallocated: 1600, Average try per allocated element: 42.9531, Average service time: 0.0214773, Average service time (ALL): 0.0214773, Average buffer size: 0.0687167, searchDepth: 20, maxBufferSize: 2147483647, pushed: 981847
W/Buffer erlang index: 3, erlang: 2500, BBP: 0, general blocking: 0, general blocking (original): 0.013597, buffer size: 0, reallocated: 13597, Average try per allocated element: 106.468, Average service time: 0.0431258, Average service time (ALL): 0.0431258, Average buffer size: 1.46572, searchDepth: 20, maxBufferSize: 2147483647, pushed: 995444
W/Buffer erlang index: 4, erlang: 3000, BBP: 9.08733e-05, general blocking: 2.9e-05, general blocking (original): 0.0582579, buffer size: 29, reallocated: 58229, Average try per allocated element: 310.346, Average service time: 0.337909, Average service time (ALL): 0.337835, Average buffer size: 59.0356, searchDepth: 20, maxBufferSize: 2147483647, pushed: 1053702
W/Buffer erlang index: 5, erlang: 3500, BBP: 0.0599621, general blocking: 0.019727, general blocking (original): 0.0698139, buffer size: 19727, reallocated: 50087, Average try per allocated element: 381.458, Average service time: 38.6963, Average service time (ALL): 39.0988, Average buffer size: 9552.27, searchDepth: 20, maxBufferSize: 2147483647, pushed: 1123516
W/Buffer erlang index: 6, erlang: 4000, BBP: 0.115344, general blocking: 0.037977, general blocking (original): 0.0750659, buffer size: 37977, reallocated: 37089, Average try per allocated element: 509.443, Average service time: 61.2311, Average service time (ALL): 62.1882, Average buffer size: 18670, searchDepth: 20, maxBufferSize: 2147483647, pushed: 1198582
